epoch,train_loss,train_acc,train_avg_acc,validation_loss,validation_acc,validation_avg_acc,time
0, 2.9154106232313417, 0.3617565055762082, 0.19817900768404517, 2.3462813884697913, 0.581798483206934, 0.38035148738968977, 10.135738372802734
1, 2.5114901163321, 0.5069702602230484, 0.3305965295895529, 2.1771096315311587, 0.6121343445287107, 0.42944404032376937, 10.151228904724121
2, 2.3394246930083376, 0.5782992565055762, 0.40423681942959194, 2.0426568747341696, 0.6814734561213435, 0.5091347211954425, 10.159403800964355
3, 2.2475035633739484, 0.612453531598513, 0.4499499104978611, 1.9510190216975765, 0.7296858071505958, 0.5718590786326654, 10.154013872146606
4, 2.172477548007185, 0.6482342007434945, 0.49488386347172775, 1.9403775775419672, 0.7242686890574215, 0.5619768174209729, 10.311105966567993
5, 2.1232585543593507, 0.662407063197026, 0.5091787810792165, 1.8808166487374518, 0.7567713976164681, 0.610947644088076, 10.691935062408447
6, 2.08740955879254, 0.6742565055762082, 0.525141231945795, 1.875314830571316, 0.7627302275189599, 0.6086731748934803, 10.356266021728516
7, 2.0493436577594855, 0.6943540892193308, 0.5512777007519587, 1.8280244049245848, 0.7827735644637053, 0.6405286887280651, 10.546094417572021
8, 2.021679957560004, 0.7109665427509294, 0.5696449815956456, 1.819708813050457, 0.7984832069339112, 0.6613378928227677, 10.558036088943481
9, 2.00988861663634, 0.7058550185873605, 0.5686588288655515, 1.8495291094351176, 0.766522210184182, 0.6195308241998717, 10.176616668701172
10, 1.9789732459752534, 0.7232806691449815, 0.5919096787506177, 1.8189943952653416, 0.789815817984832, 0.647804711118818, 10.316321611404419
11, 1.9680741537902435, 0.7282760223048327, 0.5962669041428248, 1.7905141896571266, 0.7930660888407367, 0.6596284188005354, 10.238479375839233
12, 1.9464061539412432, 0.7384990706319703, 0.6125896059685622, 1.7839128322745972, 0.8055254604550379, 0.6692377439594693, 10.741547107696533
13, 1.9323890262376864, 0.7446561338289963, 0.6158392915674646, 1.7667701790676344, 0.8169014084507042, 0.6915463192854221, 10.120299100875854
14, 1.9229051876245378, 0.7482574349442379, 0.629404322752606, 1.7536155050004936, 0.8033586132177681, 0.684738709113552, 10.325621366500854
15, 1.913063375480113, 0.7536013011152416, 0.6301665090402366, 1.8203170179416661, 0.7833152762730228, 0.6585468769955612, 10.465475082397461
16, 1.9041539625607458, 0.7552276951672863, 0.6377874799220327, 1.7948004197196092, 0.7984832069339112, 0.6831984924520238, 10.25879430770874
17, 1.8910153342002387, 0.7652184014869888, 0.6444188699890161, 1.8178314010603585, 0.8022751895991332, 0.6962288056070142, 10.503828287124634
18, 1.880086987435153, 0.7669609665427509, 0.6491641497408647, 1.7171414027622178, 0.8423618634886241, 0.7437708805200998, 10.506859064102173
19, 1.868952829598494, 0.7674256505576208, 0.6561932546592373, 1.6921685830743445, 0.8418201516793066, 0.7510610713533044, 10.11599612236023
20, 1.8700428678200591, 0.7670771375464684, 0.6546273083171693, 1.7247138720808928, 0.8401950162513543, 0.7434955803583766, 10.844791173934937
21, 1.8643006400991107, 0.7694005576208178, 0.6547491309530503, 1.7317873695431396, 0.8217768147345612, 0.7173807224260619, 10.763686180114746
22, 1.8581982726944424, 0.7747444237918215, 0.6655304795402303, 1.7682286107010599, 0.8174431202600216, 0.7035777179075735, 10.763731956481934
23, 1.8556708230405048, 0.7811338289962825, 0.6706764029416863, 1.6705222461747968, 0.8586132177681474, 0.7716483546514981, 10.763095617294312
24, 1.8541916006116619, 0.7798559479553904, 0.6746351931755049, 1.7581287324105672, 0.8022751895991332, 0.6762949497005418, 10.655017614364624
25, 1.8427684400161404, 0.7875232342007435, 0.6799118920350701, 1.7082985689942265, 0.838569880823402, 0.7335234715626198, 10.82034420967102
26, 1.8364485816884661, 0.78125, 0.6690013091188438, 1.7032873546573477, 0.8445287107258939, 0.7448795455132966, 10.536511421203613
