epoch,train_loss,train_acc,train_avg_acc,validation_loss,validation_acc,validation_avg_acc,time
0, 2.9877014736260623, 0.31482342007434944, 0.1760214775897982, 4.2619319225571655, 0.08017334777898158, 0.0690895287321883, 47.23414087295532
1, 2.526391982145912, 0.49059014869888473, 0.31668658962743923, 3.278672316996532, 0.25947995666305523, 0.18310959561093726, 47.3609037399292
2, 2.350943622092775, 0.5738847583643123, 0.4055517751119373, 2.947677023878335, 0.3580715059588299, 0.2344363235332017, 47.4184136390686
3, 2.2397344754974196, 0.6216310408921933, 0.45462271551975497, 2.870890813168312, 0.3564463705308776, 0.24828678093805187, 47.70880198478699
4, 2.156328115764604, 0.6509061338289963, 0.48688579327459164, 2.6328457752777465, 0.4723726977248104, 0.3962318466928927, 47.42621183395386
5, 2.0706715973779612, 0.6904042750929368, 0.5406281574818819, 2.8567013807699713, 0.38353196099674974, 0.32941152675333274, 47.710211753845215
6, 2.024816238304053, 0.7057388475836431, 0.5580456565582432, 2.6054373236932062, 0.4219934994582882, 0.2928673753313589, 48.14528036117554
7, 1.9680775222281983, 0.7366403345724907, 0.5988963356175494, 2.8774850967775056, 0.3466955579631636, 0.31153918720784946, 47.64791417121887
8, 1.9369774520618765, 0.7530204460966543, 0.6136661450992117, 2.828042554183745, 0.3304442036836403, 0.24202667829439237, 47.981112003326416
9, 1.894741529425724, 0.7684711895910781, 0.6435339522718857, 3.073282227356023, 0.2676056338028169, 0.18402931432251363, 47.697245597839355
10, 1.8800764553608948, 0.7814823420074349, 0.6622346919912874, 3.203174578665654, 0.25189599133261104, 0.17040765051142065, 47.68976902961731
11, 1.853919813624102, 0.7865938661710037, 0.6707857529330494, 3.6886443381448997, 0.12351029252437704, 0.11251623562118214, 47.50235629081726
12, 1.8433164832317253, 0.7936802973977695, 0.678394017919213, 2.7199712641706704, 0.33856988082340195, 0.26049299167480144, 47.524884939193726
13, 1.8208719354579883, 0.8008828996282528, 0.6891809461940247, 3.191655717975786, 0.2535211267605634, 0.2032145448642344, 47.405258893966675
